utime Server CPU Memory Users
1447718220 chn-bc-ce-01 0 41 0
1447718220 chn-bc-ce-02 1 40 0
1447718220 chn-bc-ce-03 1 30 66
1447718220 chn-bc-sg-01 4 22 542
1447718220 chn-bc-sg-02 6 22 510
1447718220 lon-bc-sg-01 8 21 1806
1447718220 lon-bc-sg-02 9 20 1566
1447718220 tok-bc-ce-01 2 35 331
1447718220 tok-bc-ce-02 2 26 246
1447718220 tok-bc-sg-01 23 24 1714
1447718220 snd-bc-sg-01 8 24 405
1447718220 snd-bc-sg-02 8 23 360
1447718220 bos-bc-ce-03 1 17 0
1447718220 bos-bc-ce-04 1 24 0
1447718220 bos-bc-drp-01 24 55 11166
1447718220 bos-bc-drp-02 23 55 11182
1447718220 bos-bc-rp-01 10 16 74
1447718220 bos-bc-sg-01 15 23 1675
1447718220 bos-bc-sg-02 15 20 1631
1447718220 bos-bc-sg-03 14 20 1503
1447718220 sng-bc-ce-01 1 25 218
1447718220 sng-bc-ce-02 1 26 84
1447718220 sng-bc-sg-01 3 19 207
1447718220 sng-bc-sg-02 9 24 1724
1447718220 kor-bc-ce-01 8 58 139
1447718220 kor-bc-ce-02 2 44 40
1447718220 nyc-bc-ce-05 1 15 1
1447718220 nyc-bc-ce-06 0 30 0
1447718220 nyc-bc-drp-01 0 20 0
1447718220 nyc-bc-drp-02 0 20 0
1447718220 nyc-bc-rp-01 2 24 0
1447718220 nyc-bc-rp-02 1 16 1
1447718220 nyc-bc-sg-01 14 21 1906
1447718220 nyc-bc-sg-02 20 22 1873
1447718220 nyc-bc-sg-03 12 22 1684
1447718220 syd-bc-ce-01 18 65 479
1447718220 syd-bc-ce-02 2 50 81
1447718280 chn-bc-ce-01 0 41 0
1447718280 chn-bc-ce-02 0 40 0
1447718280 chn-bc-ce-03 0 30 63
1447718280 chn-bc-sg-01 4 22 536
1447718280 chn-bc-sg-02 6 22 523
1447718280 lon-bc-sg-01 8 21 1801
1447718280 lon-bc-sg-02 7 20 1553
1447718280 tok-bc-ce-01 2 35 349
1447718280 tok-bc-ce-02 1 26 258
1447718280 tok-bc-sg-01 24 24 1788
1447718280 snd-bc-sg-01 6 24 423
1447718280 snd-bc-sg-02 7 23 371
